name,language,numberOfFiles,loc
do-poc-react,Markdown,1,16
do-poc-react,CSS,1,9
do-poc-react,HTML,1,4
do-poc-react,total,10,178
bcc-qa-automation,Python,48,1478
bcc-qa-automation,Bourne Shell,6,253
bcc-qa-automation,SQL,2,64
bcc-qa-automation,JSON,4,28
bcc-qa-automation,XML,4,24
bcc-qa-automation,Markdown,1,16
bcc-qa-automation,total,65,1863
pix-chave-gestao-worker,Markdown,1,16
pix-chave-gestao-worker,total,1,16
api-cd-transaction-history,Markdown,1,16
api-cd-transaction-history,total,1,16
cd-ms-configuration,C#,98,2012
cd-ms-configuration,YAML,13,592
cd-ms-configuration,JSON,12,186
cd-ms-configuration,MSBuild script,6,84
cd-ms-configuration,Dockerfile,2,18
cd-ms-configuration,Markdown,1,16
cd-ms-configuration,total,132,2908
ob-ms-account-integration-collector,Markdown,1,16
ob-ms-account-integration-collector,total,1,16
cc-web-core,JavaScript,87,4818
cc-web-core,JSX,15,1481
cc-web-core,TypeScript,13,1380
cc-web-core,JSON,18,1136
cc-web-core,YAML,23,828
cc-web-core,Markdown,2,43
cc-web-core,HTML,1,20
cc-web-core,Dockerfile,1,7
cc-web-core,total,160,9713
cad-ms-notification-sender,C#,63,2477
cad-ms-notification-sender,MSBuild script,11,270
cad-ms-notification-sender,YAML,9,270
cad-ms-notification-sender,JSON,4,108
cad-ms-notification-sender,Markdown,2,44
cad-ms-notification-sender,Dockerfile,1,11
cad-ms-notification-sender,total,90,3180
cad-ms-consent,C#,80,3020
cad-ms-consent,MSBuild script,11,300
cad-ms-consent,YAML,8,257
cad-ms-consent,JSON,4,103
cad-ms-consent,Markdown,2,44
cad-ms-consent,Dockerfile,1,11
cad-ms-consent,total,106,3735
pix-qrc-api,Markdown,1,16
pix-qrc-api,total,1,16
cd-ms-posting-integration-mastercard,SQL,50,5421
cd-ms-posting-integration-mastercard,C#,80,3836
cd-ms-posting-integration-mastercard,Smalltalk,4,1448
cd-ms-posting-integration-mastercard,YAML,13,504
cd-ms-posting-integration-mastercard,MSBuild script,11,200
cd-ms-posting-integration-mastercard,JSON,8,141
cd-ms-posting-integration-mastercard,Dockerfile,3,35
cd-ms-posting-integration-mastercard,Markdown,1,16
cd-ms-posting-integration-mastercard,total,170,11601
tb-api-adaptor-pts,YAML,2,830
tb-api-adaptor-pts,total,2,830
trn-ms-person,Markdown,1,16
trn-ms-person,total,1,16
ob-lib-dmn,Markdown,1,16
ob-lib-dmn,total,1,16
ssd.puppet.proxy,Puppet,1,96
ssd.puppet.proxy,Bourne Shell,1,4
ssd.puppet.proxy,total,2,100
cad-ms-push-notification,C#,46,1610
cad-ms-push-notification,YAML,9,271
cad-ms-push-notification,MSBuild script,11,246
cad-ms-push-notification,JSON,4,115
cad-ms-push-notification,Markdown,2,44
cad-ms-push-notification,Dockerfile,1,22
cad-ms-push-notification,total,73,2308
design-system-component-ios,HTML,44,15187
design-system-component-ios,Swift,85,5395
design-system-component-ios,JavaScript,5,1807
design-system-component-ios,JSON,1125,1530
design-system-component-ios,CSS,2,514
design-system-component-ios,YAML,2,77
design-system-component-ios,Bourne Shell,4,74
design-system-component-ios,Markdown,1,51
design-system-component-ios,make,2,44
design-system-component-ios,C/C++ Header,1,3
design-system-component-ios,total,1271,24682
pa-ms-organizational-structure,Smalltalk,54,32552
pa-ms-organizational-structure,C#,303,31134
pa-ms-organizational-structure,JSON,10,462
pa-ms-organizational-structure,YAML,10,347
pa-ms-organizational-structure,MSBuild script,9,288
pa-ms-organizational-structure,Markdown,1,19
pa-ms-organizational-structure,Dockerfile,1,9
pa-ms-organizational-structure,DOS Batch,1,1
pa-ms-organizational-structure,total,389,64812
cd-events-authorizer,C#,12,190
cd-events-authorizer,YAML,2,101
cd-events-authorizer,JSON,1,18
cd-events-authorizer,MSBuild script,1,16
cd-events-authorizer,Markdown,1,15
cd-events-authorizer,total,17,340
cc-transmit-demos,CSS,3,3149
cc-transmit-demos,C/C++ Header,19,1297
cc-transmit-demos,TypeScript,1,908
cc-transmit-demos,Swift,22,648
cc-transmit-demos,XML,21,621
cc-transmit-demos,Java,14,545
cc-transmit-demos,Kotlin,13,461
cc-transmit-demos,JavaScript,7,257
cc-transmit-demos,Maven,5,197
cc-transmit-demos,JSON,3,180
cc-transmit-demos,Markdown,2,145
cc-transmit-demos,Bourne Shell,1,129
cc-transmit-demos,Groovy,4,96
cc-transmit-demos,HTML,1,95
cc-transmit-demos,DOS Batch,1,59
cc-transmit-demos,Prolog,1,18
cc-transmit-demos,total,118,8805
trn-svc-config-pts-ar,XML,51,8300
trn-svc-config-pts-ar,SQL,39,2840
trn-svc-config-pts-ar,Maven,5,272
trn-svc-config-pts-ar,Bourne Shell,2,217
trn-svc-config-pts-ar,DOS Batch,2,148
trn-svc-config-pts-ar,Java,2,80
trn-svc-config-pts-ar,YAML,2,78
trn-svc-config-pts-ar,Markdown,1,2
trn-svc-config-pts-ar,total,104,11937
sdi.az.virtualmachine-s3,YAML,1,43
sdi.az.virtualmachine-s3,total,1,43
api-NOUSAR-hellosd-v1,Markdown,1,16
api-NOUSAR-hellosd-v1,total,1,16
cd-ms-jpos-mastercard,YAML,45,3069
cd-ms-jpos-mastercard,Java,12,910
cd-ms-jpos-mastercard,XML,13,575
cd-ms-jpos-mastercard,Maven,1,196
cd-ms-jpos-mastercard,Markdown,1,68
cd-ms-jpos-mastercard,DTD,1,23
cd-ms-jpos-mastercard,SQL,1,12
cd-ms-jpos-mastercard,Dockerfile,1,12
cd-ms-jpos-mastercard,total,75,4865
arq-lib-common-authorization,C#,23,897
arq-lib-common-authorization,JSON,4,84
arq-lib-common-authorization,YAML,3,58
arq-lib-common-authorization,MSBuild script,4,49
arq-lib-common-authorization,total,34,1088
api-pa-lock-document,Markdown,1,16
api-pa-lock-document,total,1,16
ob-ms-FavoriteTransferBetweenSuper-Integration-collector,C#,36,998
ob-ms-FavoriteTransferBetweenSuper-Integration-collector,JSON,3,471
ob-ms-FavoriteTransferBetweenSuper-Integration-collector,MSBuild script,5,64
ob-ms-FavoriteTransferBetweenSuper-Integration-collector,Markdown,1,16
ob-ms-FavoriteTransferBetweenSuper-Integration-collector,total,45,1549
sd-brasil-token,C#,98,4080
sd-brasil-token,XSD,1,3168
sd-brasil-token,MSBuild script,5,630
sd-brasil-token,DOS Batch,1,26
sd-brasil-token,total,105,7904
trn-svc-config-pts-pe,XML,7,634
trn-svc-config-pts-pe,Maven,5,314
trn-svc-config-pts-pe,Bourne Shell,2,217
trn-svc-config-pts-pe,DOS Batch,2,148
trn-svc-config-pts-pe,Java,2,80
trn-svc-config-pts-pe,YAML,1,39
trn-svc-config-pts-pe,SQL,1,1
trn-svc-config-pts-pe,total,20,1433
cd-ms-authorizer-single-message,C#,86,4239
cd-ms-authorizer-single-message,YAML,9,337
cd-ms-authorizer-single-message,JSON,5,237
cd-ms-authorizer-single-message,MSBuild script,6,94
cd-ms-authorizer-single-message,Smalltalk,1,47
cd-ms-authorizer-single-message,Markdown,1,16
cd-ms-authorizer-single-message,Dockerfile,1,9
cd-ms-authorizer-single-message,total,109,4979
api-NOUSAR-openapi-operation,Markdown,1,16
api-NOUSAR-openapi-operation,total,1,16
do-ping,YAML,3,72
do-ping,Markdown,1,16
do-ping,Dockerfile,1,4
do-ping,total,5,92
do-harbor-ocp,YAML,2,54
do-harbor-ocp,INI,3,37
do-harbor-ocp,Dockerfile,2,36
do-harbor-ocp,JSON,1,25
do-harbor-ocp,JavaScript,1,24
do-harbor-ocp,Markdown,1,2
do-harbor-ocp,total,10,178
trn-ms-operation,C#,222,16285
trn-ms-operation,YAML,9,263
trn-ms-operation,Smalltalk,3,218
trn-ms-operation,JSON,6,217
trn-ms-operation,MSBuild script,6,128
trn-ms-operation,Markdown,2,53
trn-ms-operation,Dockerfile,1,11
trn-ms-operation,total,249,17175
topaz-db-amlsupla_int,SQL,2,621
topaz-db-amlsupla_int,YAML,1,33
topaz-db-amlsupla_int,Markdown,1,16
topaz-db-amlsupla_int,total,4,670
do-poc-dev3,JSON,2,1390
do-poc-dev3,YAML,1,46
do-poc-dev3,C#,2,23
do-poc-dev3,MSBuild script,2,18
do-poc-dev3,Markdown,1,16
do-poc-dev3,total,8,1493
bcc-gp-events-ms-payslips,C#,19,248
bcc-gp-events-ms-payslips,YAML,1,45
bcc-gp-events-ms-payslips,Markdown,1,16
bcc-gp-events-ms-payslips,MSBuild script,1,16
bcc-gp-events-ms-payslips,total,22,325
sdd.az.modules.azure-sql-databases-non-pool,Markdown,1,16
sdd.az.modules.azure-sql-databases-non-pool,total,1,16
bcc-ms-transport,C#,116,10512
bcc-ms-transport,Smalltalk,3,746
bcc-ms-transport,MSBuild script,12,389
bcc-ms-transport,JSON,5,336
bcc-ms-transport,YAML,8,265
bcc-ms-transport,XML,1,141
bcc-ms-transport,Protocol Buffers,1,47
bcc-ms-transport,Razor,1,42
bcc-ms-transport,CSS,1,25
bcc-ms-transport,Markdown,1,16
bcc-ms-transport,HTML,1,14
bcc-ms-transport,Dockerfile,1,11
bcc-ms-transport,total,151,12544
pa-client-ms-garnishment,C#,9,141
pa-client-ms-garnishment,YAML,3,139
pa-client-ms-garnishment,Markdown,1,16
pa-client-ms-garnishment,MSBuild script,1,16
pa-client-ms-garnishment,total,14,312
pix-bacen-envio-worker,Markdown,1,16
pix-bacen-envio-worker,total,1,16
trn-svc-adaptor-pts-pix,JSON,36,3861
trn-svc-adaptor-pts-pix,XML,19,1083
trn-svc-adaptor-pts-pix,YAML,10,532
trn-svc-adaptor-pts-pix,Bourne Shell,2,78
trn-svc-adaptor-pts-pix,Groovy,3,76
trn-svc-adaptor-pts-pix,Dockerfile,1,29
trn-svc-adaptor-pts-pix,Markdown,1,17
trn-svc-adaptor-pts-pix,INI,1,3
trn-svc-adaptor-pts-pix,total,73,5679
pa-cronjobs,YAML,5,218
pa-cronjobs,Markdown,2,104
pa-cronjobs,total,7,322
api-NOUSAR-openapi-person,Markdown,1,16
api-NOUSAR-openapi-person,total,1,16
cad-ms-personal-data,C#,122,3579
cad-ms-personal-data,YAML,8,314
cad-ms-personal-data,MSBuild script,11,241
cad-ms-personal-data,JSON,4,98
cad-ms-personal-data,Markdown,2,42
cad-ms-personal-data,Dockerfile,2,21
cad-ms-personal-data,total,149,4295
bi-regulatory-reporting,Markdown,1,16
bi-regulatory-reporting,total,1,16
pa-ms-operation-types,C#,90,4369
pa-ms-operation-types,Smalltalk,3,1274
pa-ms-operation-types,YAML,7,227
pa-ms-operation-types,MSBuild script,6,125
pa-ms-operation-types,JSON,5,104
pa-ms-operation-types,Markdown,2,35
pa-ms-operation-types,Dockerfile,1,10
pa-ms-operation-types,total,114,6144
cassandra-migrate,Python,9,755
cassandra-migrate,YAML,1,18
cassandra-migrate,INI,1,14
cassandra-migrate,Bourne Shell,1,6
cassandra-migrate,total,12,793
ob-events-FavoriteMobileRecharge-integration,C#,7,177
ob-events-FavoriteMobileRecharge-integration,YAML,2,81
ob-events-FavoriteMobileRecharge-integration,Markdown,1,16
ob-events-FavoriteMobileRecharge-integration,MSBuild script,1,9
ob-events-FavoriteMobileRecharge-integration,total,11,283
cad-ms-email-notification,C#,45,1926
cad-ms-email-notification,YAML,9,271
cad-ms-email-notification,MSBuild script,11,240
cad-ms-email-notification,JSON,4,110
cad-ms-email-notification,Markdown,2,44
cad-ms-email-notification,Dockerfile,1,22
cad-ms-email-notification,total,72,2613
trn-svc-diagnostic-pts,Maven,3,886
trn-svc-diagnostic-pts,YAML,8,415
trn-svc-diagnostic-pts,Markdown,4,300
trn-svc-diagnostic-pts,Bourne Shell,2,257
trn-svc-diagnostic-pts,Python,1,185
trn-svc-diagnostic-pts,INI,11,155
trn-svc-diagnostic-pts,DOS Batch,1,147
trn-svc-diagnostic-pts,XML,7,140
trn-svc-diagnostic-pts,Java,1,76
trn-svc-diagnostic-pts,JSON,2,44
trn-svc-diagnostic-pts,Dockerfile,1,34
trn-svc-diagnostic-pts,total,41,2639
api-pa-transaction,Markdown,1,16
api-pa-transaction,total,1,16
qa-automation-rest-api-ninjas,Markdown,1,16
qa-automation-rest-api-ninjas,total,1,16
do-prometheus-node-exporter,YAML,11,422
do-prometheus-node-exporter,Markdown,2,57
do-prometheus-node-exporter,total,13,479
do-helm-ovpn,YAML,8,520
do-helm-ovpn,Markdown,1,167
do-helm-ovpn,total,9,687
devops-cd,Markdown,1,16
devops-cd,total,1,16
cad-ms-sms-notification,C#,45,1713
cad-ms-sms-notification,YAML,9,270
cad-ms-sms-notification,MSBuild script,11,246
cad-ms-sms-notification,JSON,4,113
cad-ms-sms-notification,Markdown,2,44
cad-ms-sms-notification,Dockerfile,1,22
cad-ms-sms-notification,total,72,2408
pix-bacen-recebimento-worker,Markdown,1,16
pix-bacen-recebimento-worker,total,1,16
pa-client-ms-person,C#,31,1020
pa-client-ms-person,YAML,2,69
pa-client-ms-person,XML,1,60
pa-client-ms-person,MSBuild script,2,41
pa-client-ms-person,Markdown,1,16
pa-client-ms-person,total,37,1206
bcc-gp-ms-payslips,C#,120,4549
bcc-gp-ms-payslips,JSON,5,319
bcc-gp-ms-payslips,MSBuild script,11,270
bcc-gp-ms-payslips,YAML,10,239
bcc-gp-ms-payslips,Smalltalk,5,210
bcc-gp-ms-payslips,Markdown,2,35
bcc-gp-ms-payslips,Dockerfile,1,11
bcc-gp-ms-payslips,total,154,5633
trn-ms-integration-spb,C#,197,7479
trn-ms-integration-spb,JSON,9,578
trn-ms-integration-spb,YAML,10,309
trn-ms-integration-spb,MSBuild script,8,228
trn-ms-integration-spb,Markdown,2,35
trn-ms-integration-spb,Dockerfile,1,11
trn-ms-integration-spb,total,227,8640
arq-lib-mediatr,C#,15,411
arq-lib-mediatr,YAML,2,49
arq-lib-mediatr,JSON,3,49
arq-lib-mediatr,Markdown,1,38
arq-lib-mediatr,MSBuild script,2,27
arq-lib-mediatr,total,23,574
pa-qa-integration-account-management,JSON,6,266014
pa-qa-integration-account-management,Markdown,1,16
pa-qa-integration-account-management,total,7,266030
services-ios,Markdown,1,16
services-ios,total,1,16
arq-docker-mssql-tools,Markdown,1,16
arq-docker-mssql-tools,Dockerfile,1,14
arq-docker-mssql-tools,total,2,30
cd-lib-hsm-api-client,C#,17,189
cd-lib-hsm-api-client,YAML,2,74
cd-lib-hsm-api-client,Markdown,1,16
cd-lib-hsm-api-client,MSBuild script,1,15
cd-lib-hsm-api-client,total,21,294
ob-ms-lp-prospect,C#,99,3209
ob-ms-lp-prospect,YAML,9,226
ob-ms-lp-prospect,MSBuild script,5,94
ob-ms-lp-prospect,JSON,4,58
ob-ms-lp-prospect,Markdown,2,42
ob-ms-lp-prospect,Dockerfile,2,14
ob-ms-lp-prospect,DOS Batch,1,1
ob-ms-lp-prospect,total,122,3644
cd-ms-safe-mastercard,C#,62,2720
cd-ms-safe-mastercard,JSON,6,221
cd-ms-safe-mastercard,YAML,4,198
cd-ms-safe-mastercard,MSBuild script,4,104
cd-ms-safe-mastercard,Markdown,1,16
cd-ms-safe-mastercard,Dockerfile,1,9
cd-ms-safe-mastercard,total,78,3268
do-tech-onboarding,YAML,1,23
do-tech-onboarding,total,1,23
pa-ms-person,C#,718,1217458
pa-ms-person,Smalltalk,44,61276
pa-ms-person,JSON,9,609
pa-ms-person,YAML,9,255
pa-ms-person,MSBuild script,9,204
pa-ms-person,Markdown,1,16
pa-ms-person,Dockerfile,1,11
pa-ms-person,DOS Batch,1,1
pa-ms-person,total,792,1279830
qa-test-android-trn,C#,32,1881
qa-test-android-trn,JSON,4,1391
qa-test-android-trn,Cucumber,3,77
qa-test-android-trn,MSBuild script,1,45
qa-test-android-trn,YAML,1,23
qa-test-android-trn,Markdown,1,16
qa-test-android-trn,total,42,3433
pa-tye,Markdown,1,16
pa-tye,total,1,16
ob-ms-bureau-collector,C#,96,4203
ob-ms-bureau-collector,YAML,9,268
ob-ms-bureau-collector,JSON,5,226
ob-ms-bureau-collector,MSBuild script,6,140
ob-ms-bureau-collector,Markdown,2,35
ob-ms-bureau-collector,Dockerfile,2,32
ob-ms-bureau-collector,total,120,4904
cd-ms-courier-gateway,C#,213,6923
cd-ms-courier-gateway,YAML,16,603
cd-ms-courier-gateway,MSBuild script,24,405
cd-ms-courier-gateway,liquid,3,215
cd-ms-courier-gateway,Smalltalk,1,200
cd-ms-courier-gateway,JSON,10,184
cd-ms-courier-gateway,Dockerfile,2,18
cd-ms-courier-gateway,Markdown,1,16
cd-ms-courier-gateway,total,270,8564
arq-event-store,C#,16,509
arq-event-store,JSON,4,48
arq-event-store,MSBuild script,2,31
arq-event-store,total,22,588
ob-ms-prometeo,C#,41,1575
ob-ms-prometeo,YAML,9,265
ob-ms-prometeo,MSBuild script,5,112
ob-ms-prometeo,JSON,3,98
ob-ms-prometeo,Dockerfile,2,28
ob-ms-prometeo,Markdown,1,16
ob-ms-prometeo,XML,1,15
ob-ms-prometeo,total,62,2109
cad-ms-email-risk,C#,62,2257
cad-ms-email-risk,Smalltalk,6,620
cad-ms-email-risk,YAML,8,281
cad-ms-email-risk,MSBuild script,7,154
cad-ms-email-risk,JSON,4,50
cad-ms-email-risk,Markdown,2,35
cad-ms-email-risk,Dockerfile,1,10
cad-ms-email-risk,total,90,3407
pa-events-accounts,C#,67,959
pa-events-accounts,YAML,2,71
pa-events-accounts,MSBuild script,1,15
pa-events-accounts,Markdown,1,1
pa-events-accounts,total,71,1046
api-pa-operation,Markdown,1,16
api-pa-operation,total,1,16
bcc-gp-api-definitions,YAML,4,10134
bcc-gp-api-definitions,Markdown,1,16
bcc-gp-api-definitions,total,5,10150
ob-ms-survey,C#,66,6152
ob-ms-survey,Smalltalk,2,472
ob-ms-survey,YAML,8,244
ob-ms-survey,JSON,6,147
ob-ms-survey,MSBuild script,6,124
ob-ms-survey,Markdown,2,44
ob-ms-survey,XML,1,31
ob-ms-survey,Dockerfile,1,11
ob-ms-survey,total,92,7225
pa-ms-account-management,C#,894,157632
pa-ms-account-management,JSON,40,3065
pa-ms-account-management,Smalltalk,16,2895
pa-ms-account-management,YAML,12,404
pa-ms-account-management,MSBuild script,10,394
pa-ms-account-management,liquid,4,232
pa-ms-account-management,XML,1,89
pa-ms-account-management,Markdown,1,19
pa-ms-account-management,Dockerfile,1,9
pa-ms-account-management,total,979,164739
do-helm-kube-slack,YAML,8,207
do-helm-kube-slack,Markdown,1,24
do-helm-kube-slack,total,9,231
ob-web-main,XML,1,20676
ob-web-main,TypeScript,22,3066
ob-web-main,JavaScript,60,2325
ob-web-main,JSX,18,2063
ob-web-main,JSON,17,1828
ob-web-main,CSS,1,1760
ob-web-main,YAML,11,319
ob-web-main,Sass,2,318
ob-web-main,HTML,1,96
ob-web-main,Markdown,2,57
ob-web-main,Dockerfile,1,7
ob-web-main,total,136,32515
do-setup-core-br,Markdown,1,16
do-setup-core-br,JSON,1,1
do-setup-core-br,total,2,17
service-catalogue,Markdown,1,16
service-catalogue,total,1,16
ssd.puppet.sftp,Puppet,1,77
ssd.puppet.sftp,ERB,1,2
ssd.puppet.sftp,total,2,79
do-poc-nosources,Markdown,3,23
do-poc-nosources,total,3,23
ob-ms-serasa,C#,41,1565
ob-ms-serasa,YAML,11,348
ob-ms-serasa,JSON,3,101
ob-ms-serasa,MSBuild script,7,99
ob-ms-serasa,Markdown,2,35
ob-ms-serasa,Dockerfile,1,11
ob-ms-serasa,total,65,2159
do-tf-vpn-rapipago,YAML,1,61
do-tf-vpn-rapipago,Markdown,1,16
do-tf-vpn-rapipago,total,2,77
sdbrasil-token-v2,C#,99,3044
sdbrasil-token-v2,MSBuild script,9,203
sdbrasil-token-v2,JSON,2,69
sdbrasil-token-v2,Dockerfile,2,22
sdbrasil-token-v2,total,112,3338
do-poc-dev1,YAML,1,42
do-poc-dev1,PowerShell,1,33
do-poc-dev1,C#,2,24
do-poc-dev1,MSBuild script,2,22
do-poc-dev1,Markdown,1,3
do-poc-dev1,total,7,124
ob-ms-dnic,C#,42,2235
ob-ms-dnic,YAML,9,276
ob-ms-dnic,JSON,4,162
ob-ms-dnic,MSBuild script,6,134
ob-ms-dnic,Markdown,2,42
ob-ms-dnic,Dockerfile,1,11
ob-ms-dnic,total,64,2860
bcc-utils-dotnet-logger,YAML,2,55
bcc-utils-dotnet-logger,Markdown,1,16
bcc-utils-dotnet-logger,total,3,71
cd-lib-authorizer,C#,198,9087
cd-lib-authorizer,Smalltalk,2,325
cd-lib-authorizer,MSBuild script,6,127
cd-lib-authorizer,YAML,2,98
cd-lib-authorizer,Markdown,1,16
cd-lib-authorizer,total,209,9653
cd-ms-conciliation-mastercard,Markdown,1,16
cd-ms-conciliation-mastercard,total,1,16
arq-identity-manager,C#,38,1064
arq-identity-manager,YAML,8,254
arq-identity-manager,MSBuild script,4,87
arq-identity-manager,XML,2,51
arq-identity-manager,JSON,3,44
arq-identity-manager,Dockerfile,1,12
arq-identity-manager,total,56,1512
bcc-events-ms-payments,C#,16,205
bcc-events-ms-payments,YAML,2,61
bcc-events-ms-payments,Markdown,1,16
bcc-events-ms-payments,MSBuild script,1,14
bcc-events-ms-payments,total,20,296
trn-ms-payment,C#,250,33639
trn-ms-payment,Smalltalk,1,3837
trn-ms-payment,YAML,9,254
trn-ms-payment,JSON,5,213
trn-ms-payment,MSBuild script,7,170
trn-ms-payment,Markdown,2,53
trn-ms-payment,Dockerfile,1,11
trn-ms-payment,total,275,38177
api-pa-tax-manager,Markdown,1,16
api-pa-tax-manager,total,1,16
ob-events-account-integration,C#,16,197
ob-events-account-integration,YAML,2,81
ob-events-account-integration,MSBuild script,1,9
ob-events-account-integration,total,19,287
sd-flutter-cards,JSON,6,993
sd-flutter-cards,Dart,8,168
sd-flutter-cards,Groovy,3,104
sd-flutter-cards,XML,6,60
sd-flutter-cards,YAML,2,30
sd-flutter-cards,Markdown,3,29
sd-flutter-cards,HTML,1,26
sd-flutter-cards,Swift,1,12
sd-flutter-cards,Kotlin,1,4
sd-flutter-cards,C/C++ Header,1,1
sd-flutter-cards,total,32,1427
ob-mfe-personal,JSON,11,1327
ob-mfe-personal,TypeScript,29,1152
ob-mfe-personal,Sass,10,494
ob-mfe-personal,JavaScript,12,494
ob-mfe-personal,YAML,11,341
ob-mfe-personal,Dockerfile,1,7
ob-mfe-personal,Markdown,1,1
ob-mfe-personal,total,75,3816
cad-ms-notification-builder,C#,234,14951
cad-ms-notification-builder,MSBuild script,13,325
cad-ms-notification-builder,YAML,9,261
cad-ms-notification-builder,JSON,5,169
cad-ms-notification-builder,Markdown,2,44
cad-ms-notification-builder,Dockerfile,1,11
cad-ms-notification-builder,total,264,15761
pa-events-tax-manager,C#,9,129
pa-events-tax-manager,YAML,2,74
pa-events-tax-manager,Markdown,1,16
pa-events-tax-manager,MSBuild script,1,9
pa-events-tax-manager,total,13,228
cd-db-embossing,SQL,63,1539
cd-db-embossing,Markdown,1,16
cd-db-embossing,total,64,1555
trn-lib-flunt,C#,31,2607
trn-lib-flunt,YAML,2,49
trn-lib-flunt,MSBuild script,2,25
trn-lib-flunt,Markdown,1,17
trn-lib-flunt,total,36,2698
bcc-gp-web-legalperson-main,CSS,3,3473
bcc-gp-web-legalperson-main,JavaScript,37,2252
bcc-gp-web-legalperson-main,JSON,12,1303
bcc-gp-web-legalperson-main,TypeScript,19,680
bcc-gp-web-legalperson-main,YAML,11,318
bcc-gp-web-legalperson-main,JSX,1,279
bcc-gp-web-legalperson-main,Sass,2,190
bcc-gp-web-legalperson-main,HTML,1,56
bcc-gp-web-legalperson-main,Markdown,2,49
bcc-gp-web-legalperson-main,Dockerfile,1,7
bcc-gp-web-legalperson-main,total,89,8607
microfrontend-minimal-setup,JavaScript,9,214
microfrontend-minimal-setup,JSON,4,129
microfrontend-minimal-setup,TypeScript,2,53
microfrontend-minimal-setup,HTML,2,52
microfrontend-minimal-setup,Sass,2,30
microfrontend-minimal-setup,PowerShell,1,12
microfrontend-minimal-setup,CSS,1,12
microfrontend-minimal-setup,Markdown,3,9
microfrontend-minimal-setup,total,24,511
config-repo-pull-requests,Markdown,1,16
config-repo-pull-requests,total,1,16
alpha1-datalake,Python,34,3270
alpha1-datalake,JSON,15,309
alpha1-datalake,Markdown,1,4
alpha1-datalake,total,50,3583
ob-web-onboarding,JavaScript,293,16116
ob-web-onboarding,JSX,81,6911
ob-web-onboarding,JSON,22,6561
ob-web-onboarding,TypeScript,23,2260
ob-web-onboarding,CSS,2,1763
ob-web-onboarding,YAML,11,342
ob-web-onboarding,Markdown,1,57
ob-web-onboarding,HTML,1,30
ob-web-onboarding,Sass,1,20
ob-web-onboarding,Dockerfile,1,7
ob-web-onboarding,total,436,34067
arq-ms-hospital,C#,65,2241
arq-ms-hospital,YAML,9,322
arq-ms-hospital,MSBuild script,7,108
arq-ms-hospital,JSON,5,106
arq-ms-hospital,Markdown,1,12
arq-ms-hospital,Dockerfile,1,9
arq-ms-hospital,total,88,2798
cad-ms-identity,C#,63,2639
cad-ms-identity,YAML,9,263
cad-ms-identity,MSBuild script,9,154
cad-ms-identity,JSON,7,118
cad-ms-identity,Markdown,3,81
cad-ms-identity,Dockerfile,2,14
cad-ms-identity,DOS Batch,1,1
cad-ms-identity,total,94,3270
pa-ms-charges-and-benefits,C#,1059,204568
pa-ms-charges-and-benefits,Smalltalk,11,6334
pa-ms-charges-and-benefits,SQL,7,2821
pa-ms-charges-and-benefits,JSON,30,1296
pa-ms-charges-and-benefits,YAML,15,570
pa-ms-charges-and-benefits,MSBuild script,10,472
pa-ms-charges-and-benefits,XML,6,192
pa-ms-charges-and-benefits,Markdown,2,46
pa-ms-charges-and-benefits,Dockerfile,2,18
pa-ms-charges-and-benefits,DOS Batch,1,2
pa-ms-charges-and-benefits,total,1143,216319
do-agent-vsts,YAML,20,710
do-agent-vsts,Python,3,221
do-agent-vsts,Bourne Shell,3,132
do-agent-vsts,Markdown,2,72
do-agent-vsts,Ruby,1,6
do-agent-vsts,total,29,1141
pa-ms-condition-types,C#,49,1495
pa-ms-condition-types,YAML,7,205
pa-ms-condition-types,Smalltalk,1,195
pa-ms-condition-types,MSBuild script,6,163
pa-ms-condition-types,JSON,4,55
pa-ms-condition-types,Markdown,2,35
pa-ms-condition-types,Dockerfile,1,10
pa-ms-condition-types,total,70,2158
bank-slip-generation-ios,Swift,121,4715
bank-slip-generation-ios,JSON,32,715
bank-slip-generation-ios,Bourne Shell,1,156
bank-slip-generation-ios,C/C++ Header,3,39
bank-slip-generation-ios,Markdown,1,18
bank-slip-generation-ios,Objective C,3,15
bank-slip-generation-ios,total,161,5658
ob-ms-tutorial,C#,40,1687
ob-ms-tutorial,YAML,8,300
ob-ms-tutorial,Smalltalk,1,119
ob-ms-tutorial,MSBuild script,6,119
ob-ms-tutorial,JSON,4,86
ob-ms-tutorial,Markdown,1,16
ob-ms-tutorial,Dockerfile,1,10
ob-ms-tutorial,total,61,2337
do-tf-aks-node-pool,YAML,1,50
do-tf-aks-node-pool,Markdown,1,16
do-tf-aks-node-pool,total,2,66
do-healthchecks-ui,YAML,7,480
do-healthchecks-ui,Markdown,1,16
do-healthchecks-ui,Dockerfile,1,6
do-healthchecks-ui,total,9,502
pix-spi-pagador-receive-worker,Markdown,1,16
pix-spi-pagador-receive-worker,total,1,16
trn-svc-cross,XML,16,2950
trn-svc-cross,Maven,5,272
trn-svc-cross,Bourne Shell,2,217
trn-svc-cross,DOS Batch,2,148
trn-svc-cross,Java,2,80
trn-svc-cross,YAML,1,53
trn-svc-cross,Markdown,2,17
trn-svc-cross,SQL,1,1
trn-svc-cross,total,31,3738
crm-ocp-pro,YAML,88,5774
crm-ocp-pro,Markdown,1,16
crm-ocp-pro,total,89,5790
api-cad-userprofile-bff,Markdown,1,16
api-cad-userprofile-bff,total,1,16
