name,language,numberOfFiles,loc
pm-ms-subacquiring-bff,total,143,4396
do-tf-adls,YAML,1,88
do-tf-adls,total,1,88
interop-ios,Markdown,1,16
interop-ios,total,1,16
cad-ms-kyc,Smalltalk,16,6515
cad-ms-kyc,C#,136,4985
cad-ms-kyc,YAML,9,266
cad-ms-kyc,MSBuild script,6,158
cad-ms-kyc,JSON,6,126
cad-ms-kyc,Markdown,2,42
cad-ms-kyc,Dockerfile,1,11
cad-ms-kyc,total,176,12103
do.downtime.test,C#,28,1094
do.downtime.test,YAML,6,173
do.downtime.test,MSBuild script,3,45
do.downtime.test,JSON,2,36
do.downtime.test,Markdown,1,17
do.downtime.test,Dockerfile,1,10
do.downtime.test,total,41,1375
bcc-qa-integration-payments,JSON,2,29665
bcc-qa-integration-payments,Markdown,1,16
bcc-qa-integration-payments,total,3,29681
do-tf-hbase,YAML,1,59
do-tf-hbase,Markdown,1,17
do-tf-hbase,total,2,76
ssd.puppet.enc,Python,1,25
ssd.puppet.enc,total,1,25
qa-automation-trn-transfer,C#,56,2697
qa-automation-trn-transfer,JSON,1,41
qa-automation-trn-transfer,MSBuild script,1,35
qa-automation-trn-transfer,Markdown,1,16
qa-automation-trn-transfer,total,59,2789
bcc-ms-security,C#,99,2787
bcc-ms-security,YAML,7,262
bcc-ms-security,MSBuild script,9,206
bcc-ms-security,Protocol Buffers,5,122
bcc-ms-security,XML,1,108
bcc-ms-security,JSON,3,83
bcc-ms-security,Dockerfile,1,20
bcc-ms-security,Markdown,1,16
bcc-ms-security,total,126,3604
cd-ms-posting-mastercard,Java,601,44865
cd-ms-posting-mastercard,SQL,152,11280
cd-ms-posting-mastercard,XML,54,3196
cd-ms-posting-mastercard,Maven,24,3137
cd-ms-posting-mastercard,YAML,47,2002
cd-ms-posting-mastercard,HTML,1,167
cd-ms-posting-mastercard,Markdown,1,16
cd-ms-posting-mastercard,total,880,64663
cd-db-authorizer,SQL,43,917
cd-db-authorizer,YAML,1,33
cd-db-authorizer,Markdown,1,5
cd-db-authorizer,total,45,955
cad-ms-userprofile-bff,C#,61,2474
cad-ms-userprofile-bff,MSBuild script,11,303
cad-ms-userprofile-bff,YAML,8,258
cad-ms-userprofile-bff,JSON,4,108
cad-ms-userprofile-bff,XML,1,102
cad-ms-userprofile-bff,Markdown,2,44
cad-ms-userprofile-bff,Dockerfile,1,11
cad-ms-userprofile-bff,total,88,3300
config-repo-ocdev,YAML,133,9263
config-repo-ocdev,total,133,9263
qa-cards-authorizer-integrated-tests,C#,19,2844
qa-cards-authorizer-integrated-tests,MSBuild script,1,22
qa-cards-authorizer-integrated-tests,Markdown,1,16
qa-cards-authorizer-integrated-tests,total,21,2882
cc-va-sdks,Swift,30,1448
cc-va-sdks,Kotlin,32,1145
cc-va-sdks,XML,27,712
cc-va-sdks,Markdown,6,285
cc-va-sdks,Bourne Shell,2,242
cc-va-sdks,JSON,7,164
cc-va-sdks,Groovy,4,134
cc-va-sdks,YAML,1,92
cc-va-sdks,DOS Batch,1,59
cc-va-sdks,C/C++ Header,2,26
cc-va-sdks,Java,1,19
cc-va-sdks,Prolog,1,18
cc-va-sdks,Objective C,2,10
cc-va-sdks,total,116,4354
qa-automation-rest-api-vikingos,Markdown,1,16
qa-automation-rest-api-vikingos,total,1,16
do-tpl-pipeline,YAML,28,438
do-tpl-pipeline,Markdown,1,9
do-tpl-pipeline,total,29,447
cd-ms-notification-facade,YAML,9,354
cd-ms-notification-facade,C#,14,303
cd-ms-notification-facade,JSON,4,75
cd-ms-notification-facade,MSBuild script,3,43
cd-ms-notification-facade,Markdown,1,16
cd-ms-notification-facade,Dockerfile,1,9
cd-ms-notification-facade,total,32,800
cd-events-embossing,C#,24,457
cd-events-embossing,YAML,2,101
cd-events-embossing,MSBuild script,2,33
cd-events-embossing,JSON,1,18
cd-events-embossing,Markdown,1,6
cd-events-embossing,total,30,615
pa-qa-integration-product,JSON,5,113707
pa-qa-integration-product,Markdown,1,16
pa-qa-integration-product,total,6,113723
pocs-serilog,C#,25,809
pocs-serilog,JSON,6,124
pocs-serilog,MSBuild script,7,105
pocs-serilog,YAML,2,85
pocs-serilog,total,40,1123
ob-events-person-integration,C#,17,224
ob-events-person-integration,YAML,2,81
ob-events-person-integration,Markdown,1,16
ob-events-person-integration,MSBuild script,1,9
