name,commits,files
ob-ms-bankstatement-Integration-collector,7,61
topaz-db-amlsupla,252,443
trn-svc-adaptor-pts,563,205
bank-slip-generation-ios,83,264
campaigns,127,117
ob-events-FavoriteTransportTicket-integration,8,14
ob-client-ms-prospect,7,18
arq-ms-edi-colombia,6,25
pix-chave-reivindicacao-modificadas-worker,1,1
cd-events-posting,59,28
api-trn-plan,1,1
pix-cabine-api,1,1
cd-mfe-cards,126,182
ssd.puppet.bi_data_gateway,8,3
digital-withdrawal-ios,182,232
topaz-artifacts,12,2120
do-ansible-cassandra,32,12
pa-ms-operation-types,113,120
trn-svc-interop,61,49
example-python-cronjob,6,10
bcc-ms-associates,421,220
cc-transmit-demos,21,401
ob-ms-ani,77,69
ob-ios-common-pod,340,643
do-ansible-vm,18,28
qa-test-web,94,60
ssd.puppet.chocolatey_installer,1,2
trn-svc-config-pts-global,21,9
ssd.puppet.hieradata,2,1
trn-svc-cards,70,41
arq-identity-manager,25,63
ob-ms-rules-validation,61,79
trn-web-main,1679,900
cd-lib-hsm-api-client,71,24
pa-ms-account-management,2661,999
cards-ios,34,368
arq-lib-common-hosting,73,40
qa-cards-embossing-integrated-tests,7,13
qa-test-mobile-trn,1,1
pa-tye,1,1
api-pa-account-management,7,7
do-helm-camunda,32,16
pa-client-ms-account-management,120,109
ob-ms-bureau-collector,158,128
qa-tb-brasil-integrated-tests,14,33
trn-svc-config-pts-uy,36,40
saas-ms-account-management,1,2
ob-ms-prospect-notifications,37,71
pm-ms-acquiring,48,153
api-pa-tax-manager,1,1
cad-ms-userprofile-profile,232,136
cd-poc-specflow,1,2
ob-lib-onboarding-core,39,33
pa-events-post-processing,6,21
pa-client-ms-calculation-log,5,11
qa-automation-rest-api-ninjas,1,1
qa-automation-rest-api,6,8
pa-ms-transactions,1949,1418
cc-va-sdks,7,246
api-pa-organizational-structure,7,7
arq-lib-common-swagger,53,44
qa-automation-rest-api-cards-embossing,45,5
do-tf-azure-sql-databases,474,29
pa-client-ms-organizational-structure,72,38
cad-event-definition,1,1
arq-config-server,68,28
do-tf-vpn,1,2
pa-events-operations,12,13
do-prometheus,2,54
pa-events-transactions,242,76
cd-lib-configuration,38,32
cd-ms-posting-sync,62,39
ssd.puppet.topaz,28,270
pm-ms-acquiring-MIT,12,120
arq-lib-common-hangfire,2,32
qa-brazil-migration-integrated-tests,6,29
bcc-gp-events-ms-filesmanager,21,26
crd-ms-loan,253,176
ssd.do.pipelines-templates,80,26
dba-sql-scripts,452,43
qa-tb-mexico-integrated-tests,1,1
do-docker-node,1,1
ob-ms-person-integration-collector,47,62
bi-regulatory-reporting,1,1
mbr-orchestrator,1,1
qa-automation-quantum-pa-ms-operation,8,14
ob-ms-camunda,16,53
cd-ms-presentment-history,100,150
ob-events-person-integration,37,24
api-shared-flows,4,4
qa-test-android-trn,5,44
pa-events-persons,22,24
cd-ms-authorizer-single-message,122,118
